iter	RMSE
0	8410.421681
1	8388.588873
2	8366.833141
3	8345.170762
4	8323.612089
5	8302.120375
6	8280.709481
7	8259.353312
8	8238.046349
9	8216.868454
10	8195.734965
11	8178.92521
12	8157.937973
13	8137.040683
14	8116.200143
15	8095.437014
16	8074.655391
17	8054.010462
18	8033.447908
19	8012.972346
20	7992.578434
21	7972.216795
22	7951.94329
23	7931.754075
24	7911.628876
25	7891.570502
26	7871.594319
27	7851.674457
28	7831.827014
29	7812.043816
30	7792.33358
31	7772.657803
32	7753.088783
33	7733.599135
34	7714.173637
35	7694.804284
36	7675.475684
37	7656.255118
38	7637.104962
39	7617.997516
40	7598.994295
41	7580.019866
42	7561.096357
43	7542.251541
44	7523.485595
45	7504.783597
46	7486.140437
47	7467.586887
48	7449.067127
49	7430.659573
50	7412.267457
51	7393.942226
52	7375.70067
53	7357.560521
54	7339.455741
55	7321.4264
56	7303.466026
57	7285.560285
58	7267.610152
59	7249.834167
60	7232.135536
61	7214.478675
62	7196.894561
63	7179.33202
64	7161.831722
65	7144.439932
66	7127.125812
67	7109.858184
68	7092.633618
69	7075.503781
70	7058.37513
71	7041.339167
72	7024.391466
73	7007.516037
74	6990.698554
75	6973.908175
76	6957.216217
77	6940.489009
78	6923.916377
79	6907.36379
80	6890.88924
81	6874.487736
82	6858.133282
83	6841.835144
84	6825.615276
85	6809.387365
86	6793.268857
87	6777.237492
88	6761.260006
89	6745.328223
90	6729.449609
91	6713.643825
92	6697.859877
93	6682.165242
94	6666.541775
95	6650.950072
96	6635.433805
97	6619.867378
98	6604.463887
99	6589.049968
100	6573.685416
101	6558.44101
102	6543.265558
103	6528.135167
104	6513.078217
105	6497.980359
106	6483.022193
107	6468.13664
108	6453.286373
109	6438.477192
110	6423.754348
111	6409.088296
112	6399.320424
113	6384.690481
114	6370.108644
115	6355.595075
116	6341.15437
117	6326.733504
118	6312.411824
119	6298.1407
120	6283.921872
121	6269.59874
122	6255.486262
123	6241.432427
124	6227.457159
125	6213.50773
126	6199.629425
127	6185.788465
128	6171.970471
129	6158.254695
130	6144.510719
131	6130.899634
132	6117.333752
133	6103.736715
134	6090.269647
