iter	Passed	Remaining
0	9	94213
1	16	80737
2	23	78571
3	30	76431
4	37	74656
5	44	73354
6	49	71229
7	56	70504
8	63	70228
9	70	69973
10	76	69801
11	83	69601
12	90	69352
13	97	69246
14	104	69278
15	109	68439
16	117	68846
17	123	68678
18	130	68580
19	136	68020
20	143	67955
21	149	67858
22	156	67785
23	163	67822
24	169	67793
25	176	67896
26	182	67525
27	191	68082
28	198	68338
29	206	68689
30	214	69032
31	221	68989
32	228	68932
33	235	68932
34	241	68865
35	248	68864
36	255	68808
37	262	68727
38	269	68795
39	276	68748
40	283	68781
41	290	68863
42	296	68761
43	303	68724
44	310	68684
45	317	68601
46	323	68548
47	330	68621
48	337	68584
49	344	68536
50	350	68470
51	357	68473
52	364	68459
53	371	68376
54	378	68355
55	384	68333
56	392	68382
57	398	68341
58	405	68355
59	412	68313
60	418	68266
61	425	68206
62	432	68190
63	438	68132
64	445	68090
65	452	68061
66	459	68089
67	466	68093
68	473	68122
69	480	68131
70	487	68238
71	495	68348
72	503	68523
73	511	68676
74	520	68887
75	530	69260
76	538	69437
77	548	69785
78	556	69901
79	564	70044
80	575	70495
81	583	70635
82	592	70750
83	600	70933
84	610	71250
85	622	71704
86	630	71784
87	638	71901
88	646	71957
89	655	72204
90	664	72307
91	672	72418
92	681	72550
93	689	72658
94	698	72843
95	709	73148
96	717	73277
97	725	73336
98	733	73404
99	742	73555
100	752	73733
101	763	74074
102	771	74129
103	779	74162
104	787	74223
105	795	74292
106	804	74338
107	811	74343
108	819	74382
109	828	74469
110	837	74573
111	845	74633
112	853	74658
113	860	74601
114	868	74631
115	874	74541
116	881	74460
117	887	74361
118	894	74299
119	902	74267
120	912	74497
121	920	74495
122	928	74546
123	937	74627
124	946	74777
125	955	74874
126	966	75099
127	975	75207
128	984	75335
129	993	75393
130	1002	75495
131	1011	75595
132	1021	75801
133	1031	75959
134	1042	76164
135	1051	76279
136	1061	76426
137	1070	76525
138	1081	76716
139	1090	76803
140	1099	76874
141	1110	77065
142	1119	77184
143	1133	77549
144	1143	77716
145	1153	77841
146	1164	78040
147	1174	78184
148	1188	78544
149	1198	78690
150	1210	78960
151	1219	78995
152	1227	79030
153	1239	79272
154	1251	79465
155	1261	79627
156	1270	79672
157	1280	79783
158	1289	79825
159	1300	80002
160	1312	80193
161	1321	80242
162	1331	80330
163	1340	80409
164	1349	80456
165	1359	80534
166	1368	80598
167	1377	80617
168	1387	80685
169	1396	80768
170	1408	80953
171	1416	80931
172	1426	81011
173	1433	80967
174	1441	80925
175	1448	80877
176	1455	80784
177	1463	80735
178	1470	80665
179	1477	80624
180	1485	80569
181	1492	80499
182	1500	80513
183	1508	80458
184	1514	80376
185	1521	80278
186	1528	80185
187	1534	80098
188	1541	80002
189	1547	79908
190	1553	79803
191	1559	79683
192	1566	79606
193	1573	79520
194	1579	79424
195	1585	79323
196	1592	79244
197	1599	79161
198	1605	79065
199	1611	78979
200	1618	78883
201	1625	78833
202	1631	78742
203	1638	78680
204	1644	78590
205	1651	78502
206	1657	78425
207	1664	78370
208	1671	78305
209	1677	78184
210	1683	78083
211	1691	78085
212	1697	78019
213	1705	77974
214	1711	77903
215	1718	77847
216	1725	77793
217	1732	77725
218	1739	77669
219	1745	77603
220	1752	77530
221	1758	77457
222	1765	77383
223	1771	77294
224	1777	77224
225	1784	77165
226	1790	77089
227	1796	76982
228	1802	76904
229	1809	76849
230	1815	76772
231	1821	76712
232	1828	76644
233	1834	76577
234	1841	76510
235	1847	76440
236	1854	76407
237	1860	76326
238	1866	76226
239	1872	76150
240	1878	76085
241	1885	76019
242	1891	75948
243	1897	75880
244	1904	75826
245	1910	75733
246	1916	75679
247	1922	75598
248	1928	75525
249	1935	75467
250	1941	75418
251	1948	75365
252	1954	75311
253	1961	75249
254	1968	75217
255	1975	75174
256	1981	75132
257	1988	75066
258	1994	75023
259	2000	74959
260	2007	74914
261	2014	74873
262	2021	74827
263	2028	74795
264	2034	74746
265	2042	74727
266	2048	74681
267	2053	74555
268	2060	74524
269	2066	74460
270	2073	74432
271	2079	74372
272	2085	74316
273	2092	74272
274	2099	74244
275	2106	74206
276	2113	74180
277	2119	74122
278	2126	74088
279	2133	74066
280	2142	74115
281	2150	74107
282	2156	74058
283	2164	74042
284	2171	74015
285	2178	73982
286	2185	73959
287	2191	73909
288	2198	73874
289	2204	73821
290	2211	73777
291	2217	73711
292	2223	73665
293	2230	73652
294	2237	73600
295	2244	73571
296	2250	73526
297	2257	73490
298	2263	73453
299	2270	73399
300	2276	73363
301	2283	73326
302	2290	73292
303	2299	73334
304	2307	73339
305	2314	73318
